Component,Variable,English_Default,Arabic,Bulgarian,Chinese_Simplified,Chinese_Traditional,Croatian,Czech,Danish,Dutch ,English_United Kingdom,Estonian,Finnish,French,German,Hebrew,Hungarian,Icelandic,Italian,Japanese,Korean,Latvian,Lithuanian,Malay,Norwegian,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Ukranian,Vietnamese
Save Filter,labelSearchFilter,Search Filter,فلتر البحث,Филтър за търсене,搜索筛选器,搜尋篩選器,Filter za pretraživanje,Vyhledávací filtr,Søgefilter,Zoekfilter,Search Filter,Otsingufilter,Hakusuodatin,Filtre de recherche,Suchfilter,מסנן חיפוש,Keresési szűrő,Leitarsía,Filtro di ricerca,検索フィルター,검색 필터,Meklēšanas filtrs,Paieškos filtras,Penapis Carian,Søkefilter,Filtr wyszukiwania,Filtro de pesquisa,Filtru de căutare,Фильтр поиска,Филтер за претрагу,Vyhľadávací filter,Iskalni filter,Filtro de búsqueda,Sökfilter,ตัวกรองการค้นหา,Фільтр пошуку,Bộ lọc tìm kiếm
Pagination,labelPagination,Pagination,ترقيم الصفحات,Пагинация,分页,分頁,Paginacija,Stránkování,Paginering,Paginering,Pagination,Lehekülgede arv,Sivunumerointi,Pagination,Pagination,דִפּוּף,Lapszámozás,Síðunúmeraskipti,Paginazione,ページネーション,쪽수 매기기,Lappušu numerācija,Puslapavimas,Penomboran halaman,Paginering,Paginacja,Paginação,Paginare,Пагинация,Пагинација,Stránkovanie,Oštevilčenje strani,Paginación,Paginering,การแบ่งหน้า,Пагінація,Đánh số trang
New Window,labelNewWindow,opens in new window,يفتح في نافذة جديدة,отваря се в нов прозорец,在新窗口中打开,在新視窗中開啟,otvara se u novom prozoru,otevře se v novém okně,åbner i et nyt vindue,wordt in een nieuw venster geopend,opens in new window,avaneb uues aknas,avautuu uuteen ikkunaan,ouvre dans une nouvelle fenêtre,wird in einem neuen Fenster geöffnet,נפתח בחלון חדש,új ablakban nyílik meg,opnast í nýjum glugga,si apre in una nuova finestra,新しいウィンドウで開きます,새 창에서 열립니다,atveras jaunā logā,atsidaro naujame lange,dibuka dalam tetingkap baharu,åpnes i nytt vindu,otwiera się w nowym oknie,abre em nova janela,se deschide într-o fereastră nouă,открывается в новом окне,отвара се у новом прозору,otvorí sa v novom okne,odpre se v novem oknu,Se abre en una ventana nueva,öppnas i nytt fönster,เปิดในหน้าต่างใหม่,відкривається в новому вікні,(mở trong cửa sổ mới)
Search Results Message,labelResultsAvailable,{count} of {total} results are now available.,{count} من أصل {total} نتائج متاحة الآن.,Вече са налични {count} от {total} резултата.,现在共有 {count} 条结果，总计 {total} 条结果。,現在共有 {count} 項結果，總計 {total} 條結果。,Sada je dostupno {count} od {total} rezultata.,Nyní je k dispozici {count} z {total} výsledků.,{count} af {total} resultater er nu tilgængelige.,{count} van {total} resultaten zijn nu beschikbaar.,{count} of {total} results are now available.,{count} tulemust {total}-st on nüüd saadaval.,{count} / {total} tulosta on nyt saatavilla.,{count} des {total} résultats sont maintenant disponibles.,Es sind nun {count} von {total} Ergebnissen verfügbar.,{count} מתוך {total} תוצאות זמינות כעת.,{count} / {total} találat most elérhető.,{count} af {total} niðurstöðum eru nú tiltækar.,{count} di {total} risultati sono ora disponibili.,{total}件中{count}件の結果が表示されました。,{총}개의 결과 중 {count}개의 결과가 나왔습니다.,Tagad ir pieejami {count} no {total} rezultātiem.,{count} iš {total} rezultatų jau pasiekiami.,{count} daripada {total} keputusan kini tersedia.,{count} av {total} resultater er nå tilgjengelige.,{count} z {total} wyników jest teraz dostępnych.,{count} de {total} resultados já estão disponíveis.,{count} din {total} rezultate sunt acum disponibile.,Теперь доступно {количество} из {общее количество} результатов.,Сада је доступно {count} од {total} резултата.,K dispozícii je {count} z {total} výsledkov.,Na voljo je {count} od {total} rezultatov.,Ya están disponibles {count} de {total} resultados.,{count} av {total} resultat är nu tillgängliga.,ขณะนี้มีผลลัพธ์ {count} จากทั้งหมด {total} รายการให้ดูแล้ว,Доступно {count} з {total} результатів.,Hiện đã có {count} trong tổng số {total} kết quả.
Sorted Message (Relevency),labelResultsSorted,Results sorted by {label},النتائج مرتبة حسب {label},"Резултати, сортирани по {label}",按 {label} 排序的结果,按 {label} 排序的結果,Rezultati sortirani po {label},Výsledky seřazené podle {label},Resultater sorteret efter {label},Resultaten gesorteerd op {label},Results sorted by {label},Tulemused sorteeritud sildi {label} järgi,Tulokset lajiteltu {label} -perusteella,Résultats triés par {label},Ergebnisse sortiert nach {label},תוצאות ממוינות לפי {label},Eredmények rendezve {label} szerint,Niðurstöður raðaðar eftir {label},Risultati ordinati per {etichetta},結果は{label}でソートされています。,{label} 기준으로 정렬된 결과,Rezultāti sakārtoti pēc {label},Rezultatai surūšiuoti pagal {label},Keputusan disusun mengikut {label},Resultater sortert etter {label},Wyniki posortowane według {label},Resultados ordenados por {label},Rezultate sortate după {label},Результаты отсортированы по {метке},Резултати сортирани по {label},Výsledky zoradené podľa {label},Rezultati razvrščeni po {label},Resultados ordenados por {etiqueta},Resultat sorterade efter {label},ผลลัพธ์เรียงลำดับตาม {ป้ายกำกับ},Результати відсортовано за {label},Kết quả được sắp xếp theo {label}
Loading Status Message,labelLoadingMsg,Loading new results.,جارٍ تحميل نتائج جديدة.,Зареждане на нови резултати.,正在加载新结果。,正在載入新結果。,Učitavanje novih rezultata.,Načítání nových výsledků.,Indlæser nye resultater.,Nieuwe resultaten worden geladen.,Loading new results.,Uute tulemuste laadimine.,Ladataan uusia tuloksia.,Chargement des nouveaux résultats.,Neue Ergebnisse werden geladen.,טוען תוצאות חדשות.,Új találatok betöltése.,Hleður inn nýjum niðurstöðum.,Caricamento dei nuovi risultati.,新しい結果を読み込んでいます。,새로운 검색 결과를 불러오는 중입니다.,Notiek jaunu rezultātu ielāde.,Įkeliami nauji rezultatai.,Memuatkan hasil baharu.,Laster inn nye resultater.,Ładowanie nowych wyników.,Carregando novos resultados.,Se încarcă rezultatele noi.,Загрузка новых результатов.,Учитавање нових резултата.,Načítavajú sa nové výsledky.,Nalaganje novih rezultatov.,Cargando nuevos resultados.,Laddar nya resultat.,กำลังโหลดผลลัพธ์ใหม่,Завантаження нових результатів.,Đang tải kết quả mới.
Search Keyword Message Description,labelSearchKeywordDesc,Matching job links will appear below as you type.,ستظهر روابط الوظائف المطابقة أدناه أثناء الكتابة.,"Съответстващи връзки за работа ще се показват по-долу, докато пишете.",输入内容时，下方将显示匹配的职位链接。,輸入內容時，下方將顯示相符的職位連結。,Odgovarajuće poveznice za poslove prikazivat će se ispod dok tipkate.,Odpovídající odkazy na pracovní nabídky se budou zobrazovat níže během psaní.,"Matchende joblinks vises nedenfor, mens du skriver.",Relevante vacaturelinks verschijnen hieronder terwijl u typt.,Matching job links will appear below as you type.,Sobivate töökohtade lingid kuvatakse allpool sisestamise ajal.,Vastaavat työpaikkalinkit näkyvät alla kirjoittaessasi.,Les liens vers les offres d'emploi correspondantes apparaîtront ci-dessous au fur et à mesure que vous taperez.,Passende Stellenlinks werden während Ihrer Eingabe unten angezeigt.,קישורים למשרות תואמות יופיעו למטה בזמן ההקלדה.,A keresésnek megfelelő álláshirdetések linkjei gépelés közben jelennek meg alább.,Tenglar sem passa við störf birtast hér að neðan þegar þú skrifar.,I link alle offerte di lavoro corrispondenti appariranno qui sotto man mano che digiti.,入力内容に応じて、関連する求人リンクが下に表示されます。,입력하시는 동안 아래에 관련 채용 정보 링크가 표시됩니다.,"Atbilstošas ​​darba sludinājumu saites parādīsies zemāk, kamēr rakstāt.","Atitinkančios darbo nuorodos bus rodomos žemiau, kai rašysite.",Pautan kerja yang sepadan akan dipaparkan di bawah semasa anda menaip.,Matchende jobblenker vil vises nedenfor mens du skriver.,W miarę wpisywania tekstu poniżej pojawią się pasujące linki do ofert pracy.,Os links para vagas de emprego correspondentes aparecerão abaixo conforme você digita.,Linkurile către locuri de muncă corespunzătoare vor apărea mai jos pe măsură ce tastați.,По мере ввода текста ниже будут появляться ссылки на подходящие вакансии.,Линкови за послове који одговарају вашим потребама ће се појављивати испод док куцате.,Počas písania sa nižšie zobrazia zodpovedajúce odkazy na pracovné ponuky.,Med tipkanjem se bodo spodaj prikazale ustrezne povezave do delovnih mest.,"A medida que escribas, aparecerán enlaces a ofertas de empleo que coincidan con tu perfil.",Matchande jobblänkar visas nedan medan du skriver.,ลิงก์ตำแหน่งงานที่ตรงกับคุณสมบัติจะปรากฏด้านล่างขณะที่คุณพิมพ์,Відповідні посилання на вакансії з’являтимуться нижче під час введення тексту.,Các liên kết việc làm phù hợp sẽ xuất hiện bên dưới khi bạn nhập.
Search Keyword Message (Found),labelSearchKeywordFoundMsg,{count) matching job links found.,تم العثور على {count} من روابط الوظائف المطابقة.,Намерени са {count) съответстващи връзки за работа.,找到 {count} 个匹配的职位链接。,找到 {count} 個符合的職位連結。,Pronađene su odgovarajuće poveznice za poslove ({count)).,Nalezeno {count) odpovídajících odkazů na pracovní nabídky.,{count) matchende joblinks fundet.,{count) overeenkomende vacaturelinks gevonden.,{count) matching job links found.,Leiti {count) sobivat töökuulutuse linki.,Löytyi {count) vastaavaa työpaikkalinkkiä.,{count) liens d'emploi correspondants trouvés.,{count} passende Stellenangebote gefunden.,נמצאו קישורי עבודה תואמים ({count)).,{count) egyező álláshirdetési link található.,{count) samsvarandi atvinnutenglar fundust.,{count) link di lavoro corrispondenti trovati.,{count}件の一致する求人リンクが見つかりました。,{count}개의 일치하는 채용 링크가 발견되었습니다.,Atrastas {count) atbilstošas ​​darba sludinājumu saites.,Rasta atitinkančių darbo pasiūlymų nuorodų: {count),{count) pautan kerja yang sepadan ditemui.,{count) samsvarende jobblenker funnet.,Znaleziono {count) pasujących linków do ofert pracy.,{count} links de emprego correspondentes encontrados.,Au fost găsite {count) linkuri de locuri de muncă corespunzătoare.,Найдено {count} соответствующих ссылок на вакансии.,Пронађено је {count) одговарајућих линкова за послове.,Nájdených {count) zodpovedajúcich pracovných odkazov.,Najdenih je bilo {count) ustreznih povezav za zaposlitev.,{count) enlaces de trabajo coincidentes encontrados.,{count) matchande jobblänkar hittades.,พบลิงก์งานที่ตรงกันจำนวน {count} รายการ,Знайдено {count) відповідних посилань на вакансії.,{count) Đã tìm thấy các liên kết việc làm phù hợp.
Search Keyword Message (Not Found),labelSearchKeywordNotFoundMsg,No matching job links found.,لم يتم العثور على روابط وظائف مطابقة.,Няма намерени съответстващи връзки за работа.,未找到匹配的职位链接。,未找到符合的職位連結。,Nisu pronađene odgovarajuće poveznice za posao.,Nenalezeny žádné odpovídající odkazy na pracovní nabídky.,Ingen matchende joblinks fundet.,Geen overeenkomende vacatures gevonden.,No matching job links found.,Sobivaid tööpakkumiste linke ei leitud.,Ei vastaavia työpaikkalinkkejä.,Aucun lien vers une offre d'emploi correspondante n'a été trouvé.,Es wurden keine passenden Stellenangebote gefunden.,לא נמצאו קישורי עבודה תואמים.,Nincsenek megfelelő álláshirdetési linkek.,Engir samsvarandi starfstenglar fundust.,Nessun link di lavoro corrispondente trovato.,一致する求人リンクは見つかりませんでした。,일치하는 채용 정보 링크를 찾을 수 없습니다.,Nav atrastas atbilstošas ​​darba saites.,Nerasta atitinkančių darbo nuorodų.,Tiada pautan kerja yang sepadan ditemui.,Ingen samsvarende jobblenker funnet.,Nie znaleziono pasujących linków do ofert pracy.,Não foram encontrados links de emprego correspondentes.,Nu au fost găsite linkuri către locuri de muncă potrivite.,Ссылки на подходящие вакансии не найдены.,Нису пронађени одговарајући линкови за посао.,Nenašli sa žiadne zodpovedajúce pracovné odkazy.,Ni najdenih ustreznih povezav za delovna mesta.,No se encontraron enlaces de empleo que coincidan.,Inga matchande jobblänkar hittades.,ไม่พบลิงก์งานที่ตรงกัน,Відповідних посилань на вакансії не знайдено.,Không tìm thấy liên kết việc làm phù hợp.
Autocomplete Description,labelAutoCompleteDesc,"When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures.",عند توفر نتائج الإكمال التلقائي، استخدم أسهم الأعلى والأسفل للمراجعة، ثم اضغط على زر الإدخال للاختيار. لمستخدمي الأجهزة التي تعمل باللمس، استكشفوا عبر اللمس أو باستخدام إيماءات التمرير.,"Когато са налични резултати от автоматично довършване, използвайте стрелките нагоре и надолу за преглед и Enter за избор. Потребителите на устройства с докосване могат да изследват чрез докосване или с плъзгане.",当有自动完成结果时，请使用上下箭头键查看，然后按回车键选择。触控设备用户，请使用触控或滑动操作进行浏览。,當有自動完成結果時，請使用上下箭頭鍵查看，然後按回車鍵選擇。觸控設備用戶，請使用觸控或滑動操作進行瀏覽。,"Kada su dostupni rezultati automatskog dovršavanja, koristite strelice gore i dolje za pregled i Enter za odabir. Korisnici dodirnih uređaja istražuju dodirom ili pokretima prsta.","Pokud jsou k dispozici výsledky automatického doplňování, použijte šipky nahoru a dolů k prohlédnutí a klávesu Enter k výběru. Uživatelé dotykových zařízení mohou prozkoumávat výsledky dotykem nebo přejetím prstem.","Når autofuldførelsesresultater er tilgængelige, skal du bruge pil op og pil ned til at gennemgå og Enter for at vælge. Brugere af berøringsenheder kan udforske ved at trykke eller med swipe-bevægelser.",Gebruik de pijltoetsen omhoog en omlaag om de resultaten te bekijken en druk op Enter om een ​​keuze te maken wanneer er automatisch aanvullende resultaten beschikbaar zijn. Gebruikers van touchscreens kunnen de resultaten verkennen door te tikken of te vegen.,"When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures.","Kui automaatse täitmise tulemused on saadaval, kasutage ülevaatamiseks üles- ja allanooli ning valimiseks sisestusklahvi. Puudutage seadme kasutajaid, uurige puudutuse või pühkimisliigutuste abil.","Kun automaattisen täydennyksen tulokset ovat saatavilla, tarkista ne ylä- ja alanuolilla ja valitse Enter-näppäimellä. Kosketa laitteen käyttäjiä, tutki koskettamalla tai pyyhkäisemällä.","Lorsque des suggestions de saisie semi-automatique sont disponibles, utilisez les flèches haut et bas pour les parcourir et appuyez sur Entrée pour sélectionner. Sur les appareils tactiles, explorez les options par le toucher ou par glissement.","Wenn Autovervollständigungsvorschläge verfügbar sind, können Sie diese mit den Pfeiltasten nach oben und unten durchsuchen und mit der Eingabetaste auswählen. Nutzer von Touchscreen-Geräten können die Vorschläge per Berührung oder Wischgesten erkunden.","כאשר תוצאות השלמה אוטומטית זמינות, השתמש בחצים למעלה ולמטה כדי לסקור ו-Enter כדי לבחור. משתמשי מכשירים יכולים לגלות באמצעות מגע או תנועות החלקה.","Amikor az automatikus kiegészítés eredményei elérhetők, a fel és le nyilakat használd az áttekintéshez, és az Enter billentyűt a kiválasztáshoz. Érintős eszközhasználók számára a böngészés érintéssel vagy húzással történik.",Þegar sjálfvirkar niðurstöður eru tiltækar skaltu nota örvarnar upp og niður til að skoða og færa inn til að velja. Notendur sem nota snertingu geta skoðað tækið með snertingu eða strjúkbendingum.,"Quando sono disponibili i risultati del completamento automatico, utilizzare le frecce su e giù per visualizzarli e il tasto Invio per selezionarli. Gli utenti di dispositivi touch possono esplorare i risultati tramite tocco o gesti di scorrimento.",オートコンプリートの結果が表示されたら、上下矢印キーで確認し、Enterキーで選択します。タッチデバイスをご利用の場合は、タッチ操作またはスワイプ操作で探索してください。,자동 완성 결과가 표시되면 위아래 화살표를 사용하여 내용을 검토하고 Enter 키를 눌러 선택하세요. 터치 기기 사용자는 터치 또는 스와이프 제스처를 사용하여 탐색할 수 있습니다.,"Kad ir pieejami automātiskās pabeigšanas rezultāti, izmantojiet augšupvērsto un lejupvērsto bultiņu, lai tos pārskatītu, un taustiņu Enter, lai atlasītu. Pieskarieties ierīču lietotājiem, pārlūkojiet tos ar pieskārienu vai ar vilkšanas žestiem.","Kai pasiekiami automatinio užbaigimo rezultatai, naudokite rodykles aukštyn ir žemyn, kad peržiūrėtumėte, ir „Enter“, kad pasirinktumėte. Palieskite įrenginių naudotojus, naršykite liesdami arba braukimo gestais.","Apabila hasil autolengkap tersedia, gunakan anak panah atas dan bawah untuk menyemak dan masuk untuk memilih. Sentuh pengguna peranti, terokai dengan sentuhan atau dengan gerak isyarat leret.","Når autofullfør-resultater er tilgjengelige, bruk pil opp og pil ned for å se gjennom og Enter for å velge. Brukere av berøringsenheter kan utforske ved å berøre eller sveipe.","Gdy wyniki autouzupełniania są dostępne, użyj strzałek w górę i w dół, aby je przejrzeć i wybrać Enter. Użytkownicy urządzeń dotykowych mogą przeglądać wyniki dotykiem lub gestami przesuwania.","Quando os resultados de preenchimento automático estiverem disponíveis, use as setas para cima e para baixo para revisar e pressione Enter para selecionar. Usuários de dispositivos com tela sensível ao toque podem explorar tocando na tela ou deslizando o dedo na tela.","Când rezultatele completării automate sunt disponibile, folosiți săgețile sus și jos pentru a le revizui și Enter pentru a selecta. Utilizatorii dispozitivului pot explora prin atingere sau cu gesturi de glisare.",При наличии результатов автозаполнения используйте стрелки вверх и вниз для просмотра и клавишу Enter для выбора. Пользователи сенсорных устройств могут осуществлять поиск с помощью касаний или жестов смахивания.,"Када су доступни резултати аутоматског довршавања, користите стрелице нагоре и надоле за преглед и ентер за избор. Корисници додирних уређаја могу да истражују додиром или превлачењем.","Keď sú k dispozícii výsledky automatického dopĺňania, použite na kontrolu šípky nahor a nadol a na výber kláves Enter. Používatelia dotykových zariadení môžu vyhľadávať dotykom alebo gestami potiahnutia prstom.","Ko so na voljo rezultati samodokončanja, uporabite puščici gor in dol za pregled in enter za izbiro. Uporabniki naprav z dotikom lahko raziskujejo z dotikom ali s gibi vlečenja.","Cuando haya resultados de autocompletar disponibles, use las flechas arriba y abajo para revisarlos y presione Enter para seleccionar. Los usuarios de dispositivos táctiles pueden explorar mediante gestos táctiles o deslizando el dedo.","När autoslutföranderesultat är tillgängliga, använd uppåt- och nedåtpilarna för att granska och returnera för att välja. Användare av pekskärmen kan utforska genom att peka eller svepa.",เมื่อมีผลลัพธ์การเติมข้อความอัตโนมัติ ให้ใช้ลูกศรขึ้นและลงเพื่อตรวจสอบ และกด Enter เพื่อเลือก สำหรับผู้ใช้อุปกรณ์ระบบสัมผัส ให้สำรวจโดยการสัมผัสหรือใช้ท่าทางปัดนิ้ว,"Коли доступні результати автозаповнення, використовуйте стрілки вгору та вниз для перегляду та Enter для вибору. Користувачі сенсорних пристроїв можуть досліджувати дотиком або жестами пальцем.","Khi kết quả tự động hoàn thành hiển thị, hãy sử dụng các phím mũi tên lên và xuống để xem lại và nhấn Enter để chọn. Người dùng thiết bị cảm ứng có thể khám phá bằng cách chạm hoặc vuốt."
